Data annuncio|Indirizzo|Citta|Zona|Prezzo|Superficie|Locali|Bagni|Box Auto|Piano|Spese condominiali|Agenzia immobiliare|Descrizione|URL
 04/05/2018|Strada Leona 21|Pavia |Centro città|450|60|2|1||Piano terra di 3 piani, con ascensore|60|Living Immobiliare|Pavia, Borgo Ticino, zona servita dai mezzi pubblici, 5 minuti in auto dal centro storico. Ampio bilocale al piano rialzato con balcone, composto da zona giorno, cucina semiabitabile, camera da letto, bagno. L' immobile viene consegnato arredato e comprensivo di elettrodomestici. Libero subito.|https://www.immobiliare.it/67182681-Affitto-Bilocale-Strada-Leona-21-Pavia.html
67185887 |Via Antonio Labriola|Pavia||400|40|1|1||2° di 2 piani, con ascensore|25|Scardilli Servizi Immobiliari|PAVIA - ZONA ad.ze Via CHIOZZO / Piazzale TEVERE  zona tranquilla, servita da autobus nr. 4 comodo per zona ospedali e tangenziale  appartamento in palazzina di recente costruzione  piano SECONDO con ASCENSORE  appartamento come nuovo, come in foto.  verrà aggiunto MATERASSO x LETTO e DIVANO  MONOLOCALE con bagno e balcone.  mq. 35 ca.  ARREDATO  disponibile da subito  Riscaldamento AUTONOMO Aria CONDIZIONATA PORTA BLINDATA ZANZARIERE  possibilità box  canone 400 euro al mese spese condominiali 25 euro al mese  classe C ipe 118,77  solo per referenziati con Busta Paga.  per appuntamenti, chiamare il  3493903599|https://www.immobiliare.it/67185887-Affitto-Monolocale-via-Antonio-Labriola-Pavia.html
67180225 |Vicolo Calchi 15|Pavia||480|70|2|1||2° piano, con ascensore|50||Appartamento luminoso, tranquillo, con balcone. Grande soggiorno e grande Camera da letto. Vicino al centro storico e in una via poco trafficata.|https://www.immobiliare.it/67180225-Affitto-Bilocale-vicolo-Calchi-15-Pavia.html
 03/05/2018|Via Giuseppe Marchesi 43|Pavia||500|62|2|1|Box auto|Piano rialzato di 3 piani, con ascensore|120|Studio Immobiliare Cantoni|Lo Studio Immobiliare Cantoni propone a Pavia in Via Marchesi n. 43 (Zona Campo Coni) ottimo bilocale arredato in signorile palazzina residenziale, posto al piano rialzato e composto da ingresso, soggiorno, cucina abitabile fornita di lavastoviglie, camera matrimoniale, bagno con lavanderia, due balconi, cantina, possibilità di locare l'autorimessa all'interno dello stesso residenziale ad € 50,00 mensili. L'immobile è dotato di portoncino blindato, climatizzatore, antifurto . LIBERO DAL 1° GIUGNO. Le spese condominiali ammontano ad € 1.500,00 annue comprensive di riscaldamento. Per ulteriori informazioni e visite si prega di contattare lo Studio tramite e-mail: a.cantoni@immobiliarecantoni.it INDICANDO UN VOSTRO RECAPITO TELEFONICO.|https://www.immobiliare.it/67150169-Affitto-Bilocale-via-Giuseppe-Marchesi-43-Pavia.html
67150101 |Viale dei Partigiani|Pavia||375|45|2|1||1° di 2 piani||Scardilli Servizi Immobiliari|PAVIA - VIALE PARTIGIANI - zona Chiesa (fermata autobus sotto casa)  appartamento ARREDATO al piano primo  composto da:  ingresso, soggiorno con angolo cottura, camera da letto, bagno e cantina.  LAVATRICE NUOVA appena comperata  canone richiesto: 375 al mese  spese condominiali - COMPRESE  riscaldamento AUTONOMO  disponibile da subito  SOLO REFERENZIATI - ( si richiede una Busta Paga )  classe G - ipe 198,50  per appuntamenti, chiamare il  3493903599|https://www.immobiliare.it/67150101-Affitto-Bilocale-viale-dei-Partigiani-Pavia.html
67142581 |Viale 11 Febbraio 2|Pavia||Prezzo su richiesta|240|5|3||1° piano, con ascensore|||Appartamento esclusivo ed elegante completamente ristrutturato nello storico Palazzo Devoti. Affaccio sul Castello Visconteo e su Strada Nuova. Dotato di ascensore e aria condizionata,|https://www.immobiliare.it/67142581-Affitto-Appartamento-viale-11-Febbraio-2-Pavia.html
 02/05/2018|Via Franco Vittadini 7|Pavia |Centro città|780|95|3|1||1° di 6 piani, con ascensore|180|Studio Immobiliare Cantoni|Lo Studio Immobiliare Cantoni propone a Pavia in Via Vittadini (Zona Ticinello - comoda per la Stazione ed il Centro Storico) tre locali arredato posto al piano primo in signorile palazzina residenziale , composto da ingresso tre camere, cucina abitabile e bagno. LIBERO SUBITO - fino a fine settembre 2018 anche per periodi brevi, possibilità dell'autorimessa nello stesso stabile. Per ulteriori informazioni e visite si prega di contattare lo Studio tramite e-mail: a.cantoni@immobiliarecantoni.it INDICANDO UN VOSTRO RECAPITO TELEFONICO.|https://www.immobiliare.it/67138585-Affitto-Trilocale-via-Franco-Vittadini-7-Pavia.html
 03/05/2018|Corso Cairoli 96|Pavia||400|50|2|1||1° di 4 piani, con ascensore|125|Living Immobiliare|Pavia, Centro storico, zona Piazza Piazza Emanuele Filiberto. Luminoso bilocale posto al piano primo con ascensore, composto da zona giorno, cucinotto, camera da letto e servizio. Arredato e comprensivo di elettredomestici. Libero a luglio.|https://www.immobiliare.it/67131221-Affitto-Bilocale-corso-Cairoli-96-Pavia.html
 02/05/2018|Via Jacopo Menocchio 7|Pavia||300|35|1|1||Piano terra di 3 piani|40|STUDIO COMPAGNONI|pavia - centro citta' - via menocchio 7 - libero monolocale totalmente arredato, termoautonomo, composto da: camera, cucina semiabitabile, antibagno, bagno. classe energetica  g  kwh/m2a 478,22. euro 300,00 mensili piu' spese condominiali|https://www.immobiliare.it/67139343-Affitto-Monolocale-via-Jacopo-Menocchio-7-Pavia.html
67121465 |Viale Sicilia 27|Pavia||300|54|3|1||1° piano|||Affittasi stanza in appartamento situato al primo piano, con posto auto interno di pertinenza e cantina. Spese condominiale basse ( spese acqua incluse) di circa 300euro/anno. L’appartamento è composto da: due camere da letto, un soggiorno/cucina, grande bagno con vasca e doccia separate e doppio lavandino, infissi con doppi vetri, zanzariere, impianti a norma, termoautonomo e dotato di climatizzatore. L’appartamento è in ottime condizioni. Fermata dell’autobus a 50m, centro storico a 100m, farmacia e negozi di alimentari sotto casa. Costo d'affitto 300 euro/mese.|https://www.immobiliare.it/67121465-Affitto-Trilocale-viale-Sicilia-27-Pavia.html
(654525) |Corso Garibaldi|Pavia |Centro città|380|37|1|1||1° di 2 piani|33|Solo Affitti - Agenzia Pavia 1|DISPONIBILE DA SUBITO !! PAVIA - CENTRO STORICO - nelle vicinanze di Corso Garibaldi, proponiamo in affitto monolocale completamente arredato, posto al primo piano senza ascensore. La soluzione e' cosi' composta: ingresso, ambiente unico con cucina a vista, letto con armadio a ponte, divano, libreria, lavatrice e portafinestra con affaccio e un bagno. Il riscaldamento e' autonomo. Spese condominiali ca. 30 €/mese comprensive anche dell'acqua dell'appartamento. Compreso nel canone di affitto anche una cantina. La zona anche se in centro e' molto tranquilla, ben servita dai mezzi pubblici e accessibile con le auto (NO zona traffico limitato). DISPONIBILE DA SUBITO.|https://www.immobiliare.it/67100897-Affitto-Monolocale-corso-Garibaldi-Pavia.html
 02/05/2018|Viale libertà|Pavia||700|135|3|2||1° di 4 piani, con ascensore|250|Coldwell Banker Immobiliare 5|PAVIA - Viale della Libertà: in una delle zona residenziali più curate e meglio servite della città proponiamo in affitto un appartamento trilocale di 135 mq situato al primo piano. L'appartamento, inserito in un contesto condominiale signorile, dotato di servizio portineria e ascensore, è composto da ampio ingresso, soggiorno con balcone, cucina abitabile arredata e completa di elettrodomestici con balcone, 2 camere da letto, 2 bagni oggetto di una recente ristrutturazione con vasca e doccia e ripostiglio, L'immobile viene consegnato in perfette condizioni, appena imbiancato, con impianto elettrico appena rifatto. Le spese condominiali mensili comprendono servizio di portineria, ascensore, riscaldamento centralizzato con termo valvole, acqua e cura delle parti comuni. Possibilità di abbinare un box auto. Possibilità di contratto 4+4 o 3+2 con cedolare secca, cauzione di 3 mesi + 1 mese anticipato.|https://www.immobiliare.it/67095435-Affitto-Trilocale-viale-liberta-24-Pavia.html
(654365) |Via Giuseppe Ferrara|Pavia||400|40|2|1|1 posto auto|Ultimo di 2 piani|30|Solo Affitti - Agenzia Pavia 1|PAVIA - ZONA POLO SCIENTIFICO / OSPEDALI - In quartiere riservato e molto tranquillo, offriamo in locazione PICCOLO BILOCALE ARREDATO. La soluzione e' di circa 40 mq, posta ad un piano primo in contesto condominiale di corte. L'alloggio e' composto da un ingresso su zona giorno con cucina a vista, bagno con doccia e camera da letto. Il riscaldamento e' autonomo; spese condominiali ca. € 30 al mese comprensive del consumo dell'acqua. Utenze di luce e gas non sono comprese. L'appartamento e' dotato di lavatrice, finestre con doppi vetri, zanzariere e inferriate. Zona servita da autobus n. 6 e n. 3. Soluzione ideale per single lavoratori, specializzandi e studenti. DISPONIBILE DA SUBITO.|https://www.immobiliare.it/67078747-Affitto-Bilocale-via-Giuseppe-Ferrara-1-Pavia.html
 27/04/2018|Via della Riviera 37|Pavia |Centro città|380|30|1|1||2° di 4 piani, con ascensore|80|Studio Immobiliare Cantoni|Lo Studio Immobiliare Cantoni propone a Pavia in Via Riviera 37 (adiac. C.so Manzoni) ottimo monolocale di recentissima e completa ristrutturazione posto al piano secondo in palazzina residenziale servita da ascensore, ingresso tramite portoncino blindato, soggiorno/letto, cuoci-vivande, bagno e balcone. Serramenti in alluminio con vetrocamera, spese condominiali annue pari ad € 1.000,00 circa comprensive, oltre delle ordinarie, del consumo del riscaldamento e dell'acqua calda. Per ulteriori informazioni e visite si prega di contattare lo Studio tramite e-mail: a.cantoni@immobiliarecantoni.it INDICANDO UN VOSTRO RECAPITO TELEFONICO|https://www.immobiliare.it/67080299-Affitto-Monolocale-via-della-Riviera-37-Pavia.html
 27/04/2018|VIA TICINELLO|Pavia |Centro città|600|50|2|1||2° di 3 piani, con ascensore||Affiliato Tecnocasa: STUDIO RMD 23 S.A.S.|L'appartamento è posto nella zona del Ticinello, a pochi passi dalla Stazione FS di Pavia e comodo per raggiungere il centro della Città.Dotato di servizio di portineria e ascensore.Nelle spese sono compresi riscaldamento e aria condizionata.Le case sono state oggetto di ristrutturazione nei primi anni 2000.All'interno troviamo posto per ospitare le biciclette.Infisso con doppio vetro.Ottimo capitolato.  Ogni agenzia ha un proprio titolare ed e' autonoma - Le presenti informazioni non costituiscono elemento contrattuale.|https://www.immobiliare.it/67077781-Affitto-Bilocale-via-Ticinello-22-Pavia.html
