Data annuncio|Zona|Prezzo|Superficie|Locali|Bagni|Box Auto|Piano|Spese condominiali|Agenzia immobiliare|Descrizione|URL
||390|70|2|1||||STUDIO RE S.A.S.|Rif. 153/A Scuola di Polizia, in palazzina di recente costruzione, alloggio composto da ingresso su zona giorno dalla quale si accede al balcone, disimpegno, servizio dotato di vasca e camera da letto. L'appartamento dispone di doppi vetri, zanzariere e porta blindata. Il riscaldamento è a gestione autonoma con caldaia unica condominiale. La quota mensile di euro 60,00 è comprensiva di riscaldamento, spese condominiali, acqua calda e fredda. Possibilità di box auto al costo di 50,00 mensili.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/21671633.html
||400|80|3|1||||STUDIO RE S.A.S.|Rif. 88A In una traversa di corso Acqui, al piano rialzato di una palazzina di soli 4 piani, appartamento con accesso da porta blindata su disimpegno, ampia zona giorno con sala, cucina a vista e balcone, due camere matrimoniali, bagno, ripostiglio e cantina completano la proprietà. Impianto di riscaldamento semi-autonomo con termo-valvole; l'alloggio si affitta libero da mobili, ma nel caso interessassero quelli già presenti gli attuali inquilini sono disposti a trovare un accordo per lasciarli.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40043547.html
||380|75|3|1||||STUDIO RE S.A.S.|Rif. 9/A Zona Cristo, in piccola palazzina con poche spese di gestione, appartamento al secondo piano senza ascensore. Alloggio libero da arredi e composto da ingresso su corridoio, comoda cucina abitabile, soggiorno, camera da letto e servizio dotato di doccia. L'appartamento è stato recentemente ristrutturato e dispone di serramenti con doppi vetri. Riscaldamento autonomo con caldaia a condensazione e spese di gestione annue pari ad € 150,00. Balcone e cantina di pertinenza.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/21734631.html
||270|75|2|1||4||STUDIO RE S.A.S.|Rif. 80A Al quarto ed ultimo piano in zon aprimo Cristo trilocale semiarredato, composto da soggiorno con cucina a vista (arredata), due camere da letto matrimoniali, un bagno, due balconi e una cantina.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40037095.html
||450|90|4|1||4||STUDIO RE S.A.S.|Rif. 85/A L'alloggio si trova in una traversa di Via Maggioli, al quarto piano di un contesto servito da ascensore. Completo di mobili, l'appartamento dispone di una metratura generosa e si compone di ingresso, soggiorno, cucina abitabile, due camere da letto ed un bagno fornito di vasca e doccia. Due balconi spaziosi e la cantina completano l'immobile. Spese di gestione pari ad € 100,00 mensili, comprensive di riscaldamento.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/21924809.html
||350|50|2|1||||STUDIO RE S.A.S.|Rif. 121A Nella zona del primo Cristo al piano terra, appartamento completamente ristrutturato composto da ingresso su disimpegno, soggiorno con cucina a vista, camera matrimoniale, bagno e ripostiglio. Gli infissi in PVC doppio vetro garantiscono un ottimo isolamento termico.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40050747.html
||700|100|1|2||||STUDIO RE S.A.S.|Rif. 12/A - Cristo, su Corso Carlo Marx negozio con tre vetrine fronte strada di 100 mq circa disposto in un unico locale, dotato di doppi servizi e cantina. Spese di gestione di circa 2.500,00 euro annuali, pagabili in rate mensili.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/21739612.html
||350|50|2|1||||STUDIO RE S.A.S.|Rif. 100A Molto vicino a qualsiasi tipo di servizio, al piano terra bilocale arredato e ristruttutrato composto da ingresso su soggiorno con cucina a vista, anti bagno e bagno, camera matrimoniale e ripostigli.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40050070.html
||340|45|2|1||1||STUDIO RE S.A.S.|Rif. 75/AScuola di Polizia, al primo ed ultimo piano di un contesto di recente costruzione, bilocale in condizioni pari al nuovo. L'alloggio, libero da mobili, è composto da ingresso su zona living con angolo cottura, camera da letto matrimoniale e bagno con vasca. L'appartamento è dotato di infissi in PVC con doppi vetri e zanzariere. Il riscaldamento è a gestione autonoma con caldaia unica condominiale. Le spese di gestione sono pari a € 50,00 mensili, comprensive di riscaldamento. Possibilità di box auto al costo di € 50,00 mensili.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/21921739.html
||250|55|2|1||||STUDIO RE S.A.S.|Rif. 29A L'alloggio si trova in un piccolo contesto di soli due piani situato a Spinetta Marengo. Libero da mobili, l'immobile si compone di ingresso, cucinino con spazioso tinello, una camera da letto matrimoniale, un bagno con doccia ed un pratico ripostiglio. Il bagno è stato ristrutturato; l'impianto elettrico è stato revisionato ed i serramenti originali sono stati sostituiti con modelli in PVC con doppi vetri. La cantina completa la proprietà. Il riscaldamento è autonomo e le spese di gestione annuali sono pari ad 30,00 mensili, salvo conguaglio.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/22008702.html
||550|75|4|1||1||STUDIO RE S.A.S.|Rif. 84A Appartamento al primo piano con ascensore composto da ingresso su soggiorno, cucina abitabile, due camere matrimoniali e bagno, c'è la possibilità di terrazzo ed è presente un balcone coperto lungo tutto l'appartamento e largo 1,40 m ca. L'impianto di riscaldamento è autonomo; i lavori di ristrutturazione saranno terminati per Dicembre.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40049715.html
||550|95|4|1||1||STUDIO RE S.A.S.|Rif. 87A Appartamento al primo piano con ascensore composto da ingresso su disimpegno, soggiorno, cucina abitabile, due camere matrimoniali e bagno, un balcone coperto lungo tutto l'appartamento e largo 1,60 m ca. L'impianto di riscaldamento è autonomo; i lavori di ristrutturazione saranno terminati per Dicembre.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40049649.html
||250|35|1|1||1||STUDIO RE S.A.S.|Rif. 8A Nella prima parte della zona Cristo, appartamento arredato sito al primo piano di un piccolo contesto comodo a tutti i servizi. L'alloggio è composto da un unico ambiente attrezzato con cucina, tavolo, un divano a due posti ed un letto singolo con pensili a ponte. Il bagno dispone di sanitari in buono stato di manutenzione ed è dotato di doccia.  Il riscaldamento è autonomo e le spese di gestione annuali sono pari ad 40,00 mensili.|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/21625673.html
||500|75|3|1||1||STUDIO RE S.A.S.|Rif. 86A Appartamento al primo piano con ascensore composto da ingresso su disimpegno, soggiorno con cucina a vista, due camere matrimoniali e bagno, un balcone coperto lungo tutto l'appartamento e largo 1,60 m ca. L'impianto di riscaldamento è autonomo; i lavori di ristrutturazione saranno terminati per Dicembre|https://www.tecnocasa.it/affitto/appartamenti/alessandria/alessandria/40049612.html
